cve_ent,nom_ent,nom_abr,cve_mun,nom_mun,cve_cab,nom_cab,ptot,pmas,pfem,vtot
"15","México","Mex.","026","Chapa de Mota","0001","Chapa de Mota","27551","13532","14019","6337"
"15","México","Mex.","027","Chapultepec","0001","Chapultepec","9676","4738","4938","2421"
"15","México","Mex.","028","Chiautla","0001","Chiautla","26191","12759","13432","5943"
"15","México","Mex.","029","Chicoloapan","0001","Chicoloapan de Juárez","175053","85377","89676","44666"
"15","México","Mex.","030","Chiconcuac","0001","Chiconcuac de Juárez","22819","11138","11681","4707"
"15","México","Mex.","031","Chimalhuacán","0001","Chimalhuacán","614453","302297","312156","147765"
"15","México","Mex.","032","Donato Guerra","0001","Villa Donato Guerra","33455","16484","16971","6888"
"15","México","Mex.","033","Ecatepec de Morelos","0001","Ecatepec de Morelos","1656107","806443","849664","419118"
"15","México","Mex.","034","Ecatzingo","0001","Ecatzingo de Hidalgo","9369","4582","4787","2073"
"15","México","Mex.","035","Huehuetoca","0001","Huehuetoca","100023","49372","50651","25188"
"15","México","Mex.","036","Hueypoxtla","0001","Hueypoxtla","39864","19860","20004","9094"
"15","México","Mex.","037","Huixquilucan","0001","Huixquilucan de Degollado","242167","116502","125665","62409"
"15","México","Mex.","038","Isidro Fabela","0001","Tlazala de Fabela","10308","5097","5211","2461"
"15","México","Mex.","039","Ixtapaluca","0001","Ixtapaluca","467361","227846","239515","118691"
"15","México","Mex.","040","Ixtapan de la Sal","0001","Ixtapan de la Sal","33541","16082","17459","8312"
"15","México","Mex.","041","Ixtapan del Oro","0001","Ixtapan del Oro","6629","3326","3303","1532"
"15","México","Mex.","042","Ixtlahuaca","0001","Ixtlahuaca de Rayón","141482","68388","73094","30853"
"15","México","Mex.","043","Xalatlaco","0001","Xalatlaco","26865","13058","13807","5666"
"15","México","Mex.","044","Jaltenco","0001","Jaltenco","26328","12844","13484","6448"
"15","México","Mex.","045","Jilotepec","0001","Jilotepec de Molina Enríquez","83755","41088","42667","19979"
"15","México","Mex.","046","Jilotzingo","0001","Santa Ana Jilotzingo","17970","8864","9106","4273"
"15","México","Mex.","047","Jiquipilco","0001","Jiquipilco","69031","33299","35732","15210"
"15","México","Mex.","048","Jocotitlán","0001","Jocotitlán","61204","29503","31701","14572"
"15","México","Mex.","049","Joquicingo","0001","Joquicingo de León Guzmán","12840","6201","6639","2896"
"15","México","Mex.","050","Juchitepec","0001","Juchitepec de Mariano Rivapalacio","23497","11503","11994","5794"
"15","México","Mex.","051","Lerma","0001","Lerma de Villada","134799","66669","68130","31150"
"15","México","Mex.","052","Malinalco","0001","Malinalco","25624","12585","13039","6105"
"15","México","Mex.","053","Melchor Ocampo","0001","Melchor Ocampo","50240","24570","25670","11308"
"15","México","Mex.","054","Metepec","0001","Metepec","214162","103059","111103","54915"
"15","México","Mex.","055","Mexicaltzingo","0001","San Mateo Mexicaltzingo","11712","5658","6054","2623"
"15","México","Mex.","056","Morelos","0001","San Bartolo Morelos","28426","13617","14809","6470"
"15","México","Mex.","057","Naucalpan de Juárez","0001","Naucalpan de Juárez","833779","404974","428805","219310"
"15","México","Mex.","058","Nezahualcóyotl","0001","Ciudad Nezahualcóyotl","1110565","536943","573622","285045"
"15","México","Mex.","059","Nextlalpan","0001","Santa Ana Nextlalpan","31691","15637","16054","7861"
"15","México","Mex.","060","Nicolás Romero","0001","Villa Nicolás Romero","366602","180139","186463","91357"
"15","México","Mex.","061","Nopaltepec","0001","Nopaltepec","8895","4427","4468","2289"
"15","México","Mex.","062","Ocoyoacac","0001","Ocoyoacac","61805","30365","31440","13926"
"15","México","Mex.","063","Ocuilan","0001","Ocuilan de Arteaga","31803","15540","16263","7059"
"15","México","Mex.","064","El Oro","0001","El Oro de Hidalgo","34446","16829","17617","7600"
"15","México","Mex.","065","Otumba","0001","Otumba de Gómez Farías","34232","17330","16902","7894"
"15","México","Mex.","066","Otzoloapan","0001","Otzoloapan","4864","2464","2400","1095"
"15","México","Mex.","067","Otzolotepec","0001","Villa Cuauhtémoc","78146","38318","39828","16076"
"15","México","Mex.","068","Ozumba","0001","Ozumba de Alzate","27207","13077","14130","6298"
"15","México","Mex.","069","Papalotla","0001","Papalotla","4147","2012","2135","962"
"15","México","Mex.","070","La Paz","0001","Los Reyes Acaquilpan","253845","123956","129889","62492"
"15","México","Mex.","071","Polotitlán","0001","Polotitlán de la Ilustración","13002","6364","6638","3257"
"15","México","Mex.","072","Rayón","0001","Santa María Rayón","12748","6252","6496","2834"
"15","México","Mex.","073","San Antonio la Isla","0001","San Antonio la Isla","22152","10886","11266","5551"
"15","México","Mex.","074","San Felipe del Progreso","0001","San Felipe del Progreso","121396","58173","63223","23971"
"15","México","Mex.","075","San Martín de las Pirámides","0001","San Martín de las Pirámides","24851","12278","12573","6070"
"15","México","Mex.","076","San Mateo Atenco","0001","San Mateo Atenco","72579","35597","36982","16119"
"15","México","Mex.","077","San Simón de Guerrero","0001","San Simón de Guerrero","6272","3026","3246","1457"
"15","México","Mex.","078","Santo Tomás","0001","Santo Tomás de los Plátanos","9111","4458","4653","2178"
"15","México","Mex.","079","Soyaniquilpan de Juárez","0001","San Francisco Soyaniquilpan","11798","5778","6020","3007"
"15","México","Mex.","080","Sultepec","0001","Sultepec de Pedro Ascencio de Alquisiras","25809","12267","13542","5700"
"15","México","Mex.","081","Tecámac","0001","Tecámac de Felipe Villanueva","364579","177713","186866","97150"
"15","México","Mex.","082","Tejupilco","0001","Tejupilco de Hidalgo","71077","34411","36666","16125"
"15","México","Mex.","083","Temamatla","0001","Temamatla","11206","5447","5759","2772"
"15","México","Mex.","084","Temascalapa","0001","Temascalapa","35987","17916","18071","8869"
"15","México","Mex.","085","Temascalcingo","0001","Temascalcingo de José María Velasco","62695","30220","32475","14396"
"15","México","Mex.","086","Temascaltepec","0001","Temascaltepec de González","32870","16142","16728","7445"
"15","México","Mex.","087","Temoaya","0001","Temoaya","90010","43963","46047","17982"
"15","México","Mex.","088","Tenancingo","0001","Tenancingo de Degollado","90946","44239","46707","20715"
"15","México","Mex.","089","Tenango del Aire","0001","Tenango del Aire","10578","5164","5414","2595"
"15","México","Mex.","090","Tenango del Valle","0001","Tenango de Arista","77965","38072","39893","17364"
"15","México","Mex.","091","Teoloyucan","0001","Teoloyucan","63115","31240","31875","14632"
"15","México","Mex.","092","Teotihuacán","0001","Teotihuacán de Arista","53010","26000","27010","12936"
"15","México","Mex.","093","Tepetlaoxtoc","0001","Tepetlaoxtoc de Hidalgo","27944","13714","14230","6481"
"15","México","Mex.","094","Tepetlixpa","0001","Tepetlixpa","18327","9003","9324","4297"
"15","México","Mex.","095","Tepotzotlán","0001","Tepotzotlán","88559","43521","45038","21530"
"15","México","Mex.","096","Tequixquiac","0001","Tequixquiac","33907","16794","17113","8252"
"15","México","Mex.","097","Texcaltitlán","0001","Texcaltitlán","17390","8366","9024","3835"
"15","México","Mex.","098","Texcalyacac","0001","San Mateo Texcalyacac","5111","2506","2605","1246"
"15","México","Mex.","099","Texcoco","0001","Texcoco de Mora","235151","115648","119503","56481"
"15","México","Mex.","100","Tezoyuca","0001","Tezoyuca","35199","17404","17795","8334"
"15","México","Mex.","101","Tianguistenco","0001","Santiago Tianguistenco de Galeana","70682","34277","36405","15550"
"15","México","Mex.","102","Timilpan","0001","San Andrés Timilpan","15391","7389","8002","3859"
"15","México","Mex.","103","Tlalmanalco","0001","Tlalmanalco de Velázquez","46130","22333","23797","11498"
"15","México","Mex.","104","Tlalnepantla de Baz","0001","Tlalnepantla","664225","321747","342478","177317"
"15","México","Mex.","105","Tlatlaya","0001","Tlatlaya","32997","16074","16923","7875"
"15","México","Mex.","106","Toluca","0001","Toluca de Lerdo","819561","394836","424725","199815"
"15","México","Mex.","107","Tonatico","0001","Tonatico","12099","5799","6300","3219"
"15","México","Mex.","108","Tultepec","0001","Tultepec","131567","64287","67280","33089"
"15","México","Mex.","109","Tultitlán","0001","Tultitlán de Mariano Escobedo","486998","238340","248658","125151"
"15","México","Mex.","110","Valle de Bravo","0001","Valle de Bravo","61599","30296","31303","14843"
"15","México","Mex.","111","Villa de Allende","0001","San José Villa de Allende","47709","23413","24296","10013"
"15","México","Mex.","112","Villa del Carbón","0001","Villa del Carbón","44881","22433","22448","10271"
"15","México","Mex.","113","Villa Guerrero","0001","Villa Guerrero","59991","29293","30698","13885"
"15","México","Mex.","114","Villa Victoria","0001","Villa Victoria","94369","46657","47712","18725"
"15","México","Mex.","115","Xonacatlán","0001","Xonacatlán","46331","22871","23460","9966"
"15","México","Mex.","116","Zacazonapan","0001","Zacazonapan","4051","2033","2018","935"
"15","México","Mex.","117","Zacualpan","0001","Zacualpan","15121","7217","7904","3480"
"15","México","Mex.","118","Zinacantepec","0001","San Miguel Zinacantepec","167759","82109","85650","37665"
"15","México","Mex.","119","Zumpahuacán","0001","Zumpahuacán","16365","7780","8585","3434"
"15","México","Mex.","120","Zumpango","0001","Zumpango de Ocampo","159647","78608","81039","37647"
"15","México","Mex.","121","Cuautitlán Izcalli","0001","Cuautitlán Izcalli","511675","248552","263123","135024"
"15","México","Mex.","122","Valle de Chalco Solidaridad","0001","Xico","357645","175772","181873","89563"
"15","México","Mex.","123","Luvianos","0001","Villa Luvianos","27781","13719","14062","6104"
"15","México","Mex.","124","San José del Rincón","0001","San José del Rincón Centro","91345","45084","46261","17712"
"15","México","Mex.","125","Tonanitla","0001","Santa María Tonanitla","10216","5058","5158","2415"
